2016-11-13 10:09:08,017 [Worker-20] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.EarLifecycleMapping lifecycle mapping for MavenProject: edu.stevens.cs548:ClinicApp:1.0.0 @ D:\J2EE\workspace\CS548\Assignment9\ClinicApp\pom.xml.
2016-11-13 10:09:08,156 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicDTOs:jar:1.0.0 is missing, no dependency information available
2016-11-13 10:09:08,251 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicSoapWebService:war:1.0.0 is missing, no dependency information available
2016-11-13 10:09:08,845 [Worker-27] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.EjbLifecycleMapping lifecycle mapping for MavenProject: edu.stevens.cs548:ClinicBillingService:1.0.0 @ D:\J2EE\workspace\CS548\Assignment9\ClinicBillingService\pom.xml.
2016-11-13 10:09:09,052 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/edu/stevens/cs548/ClinicRepresentations/1.0.0/ClinicRepresentations-1.0.0.pom
2016-11-13 10:09:09,055 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicRepresentations:jar:1.0.0 is missing, no dependency information available
2016-11-13 10:09:09,070 [Worker-27] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/edu/stevens/cs548/ClinicBillingServiceClient/1.0.0/ClinicBillingServiceClient-1.0.0.pom
2016-11-13 10:09:09,072 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicBillingServiceClient:jar:1.0.0 is missing, no dependency information available
2016-11-13 10:09:09,279 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/edu/stevens/cs548/ClinicRestWebService/1.0.0/ClinicRestWebService-1.0.0.pom
2016-11-13 10:09:09,281 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicRestWebService:war:1.0.0 is missing, no dependency information available
2016-11-13 10:09:09,284 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicService:jar:1.0.0 is missing, no dependency information available
2016-11-13 10:09:09,287 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for edu.stevens.cs548:ClinicServiceClient:jar:1.0.0 is missing, no dependency information available
2016-11-13 10:09:09,637 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/edu/stevens/cs548/ClinicRepresentations/1.0.0/ClinicRepresentations-1.0.0.jar
2016-11-13 10:09:09,644 [Worker-27] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/edu/stevens/cs548/ClinicBillingServiceClient/1.0.0/ClinicBillingServiceClient-1.0.0.jar
2016-11-13 10:09:10,313 [Worker-20] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/edu/stevens/cs548/ClinicRestWebService/1.0.0/ClinicRestWebService-1.0.0.war
2016-11-13 10:09:10,480 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2016-11-13 10:09:10,486 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2016-11-13 10:09:10,500 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2016-11-13 10:09:10,500 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\J2EE\workspace\CS548\Assignment9\ClinicBillingService\src\test\resources
2016-11-13 10:09:11,163 [Worker-24] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.stevens.cs548:ClinicBillingServiceClient:1.0.0 @ D:\J2EE\workspace\CS548\Assignment9\ClinicBillingServiceClient\pom.xml.
2016-11-13 10:09:11,279 [Worker-24] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.EjbLifecycleMapping lifecycle mapping for MavenProject: edu.stevens.cs548:ClinicBillingService:1.0.0 @ D:\J2EE\workspace\CS548\Assignment9\ClinicBillingService\pom.xml.
2016-11-13 10:09:11,850 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
